epoch,acc,loss,val_acc,val_loss
0,0.9643499999682108,0.13178374514579774,0.9738,0.15206072783833369
1,0.96941666663487758,0.11200774839321773,0.97399999999999998,0.1503343314706348
2,0.97180000003178912,0.099124872509638473,0.97419999999999995,0.1556074623895809
3,0.9720000000317891,0.098800069653987882,0.97499999999999998,0.15111819725614042
4,0.97308333330154417,0.094773980406920116,0.97409999999999997,0.14987341586574912
5,0.97370000003178914,0.090782242816686634,0.97499999999999998,0.15098376837847755
6,0.97484999999999999,0.087366323596239095,0.97419999999999995,0.15249043740909546
7,0.97465000000000002,0.086616990755001705,0.97509999999999997,0.15235954748843797
8,0.97526666669845585,0.083648809991280243,0.9748,0.15256475461353547
9,0.97498333336512244,0.086340488402048748,0.97440000000000004,0.15140245868503116
10,0.97484999999999999,0.083183550101518636,0.97460000000000002,0.15406197481267153
11,0.97596666666666665,0.080212490477164583,0.97499999999999998,0.15577846207474358
12,0.97593333336512245,0.082112645230690645,0.97519999999999996,0.15659994055796414
13,0.97661666669845582,0.078970087774594619,0.97460000000000002,0.15190503343227318
14,0.97721666666666662,0.075806233455737435,0.97489999999999999,0.15405932527268307
15,0.9768333333015442,0.077542215413848564,0.97489999999999999,0.15373207845604048
16,0.97758333330154423,0.075184464082121844,0.97409999999999997,0.15724762045363896
17,0.97703333333333331,0.076903087099393211,0.97499999999999998,0.15566714253521058
18,0.97760000000000002,0.074075043616692218,0.97509999999999997,0.15892821982558816
19,0.97748333333333337,0.076401351827383043,0.9748,0.15635630721766502
