epoch,acc,loss,val_acc,val_loss
0,0.88956666669845585,0.36276272401014964,0.95279999999999998,0.15056249443292619
1,0.92076666669845586,0.2688057006597519,0.95840000000000003,0.13719762023091317
2,0.92620000000000002,0.25076671622594199,0.9657,0.12113122273534536
3,0.93171666666666664,0.2360308621486028,0.96499999999999997,0.13007098877280951
4,0.93501666663487748,0.22737878617445628,0.96460000000000001,0.13040702727735043
5,0.93888333330154417,0.2138189041097959,0.96609999999999996,0.12950221259742975
6,0.94196666669845586,0.20798000272115072,0.9667,0.13162959817424416
7,0.94161666663487753,0.2094167020559311,0.96860000000000002,0.12855985778477044
8,0.9439000000317892,0.2048134664495786,0.96879999999999999,0.13435381427481771
9,0.94506666666666672,0.20425852204163869,0.96909999999999996,0.13187668853178619
10,0.94628333333333337,0.19831898346741994,0.96850000000000003,0.12918242633789778
11,0.94641666666666668,0.19781373453537623,0.9718,0.13613275691475718
12,0.94581666669845577,0.19943227396806082,0.97030000000000005,0.13818883606866003
13,0.94666666663487753,0.20179567941824594,0.97260000000000002,0.13426684847809375
14,0.94986666666666664,0.18669056441783904,0.97089999999999999,0.14123595660924912
15,0.94773333330154419,0.19588224115371705,0.96730000000000005,0.15427175656929612
16,0.94906666666666661,0.19372478249073027,0.96860000000000002,0.15116308570578693
17,0.95150000003178914,0.18509658511877061,0.96930000000000005,0.15641931571140885
18,0.95048333336512247,0.189642835521698,0.96960000000000002,0.14449693429917096
19,0.95113333330154415,0.18603307734727859,0.97009999999999996,0.15493839258151129
