epoch,acc,loss,val_acc,val_loss
0,0.9536833333015442,0.16864403649171195,0.97119999999999995,0.14474913763143121
1,0.95131666663487757,0.1779222087820371,0.96809999999999996,0.17366194375152699
2,0.95000000003178919,0.18876381063461303,0.96989999999999998,0.14890633042678236
3,0.94950000000000001,0.18860455232858658,0.97160000000000002,0.14724228473864495
4,0.94898333333333329,0.191703125166893,0.96889999999999998,0.15549182039648293
5,0.94871666669845578,0.19760796887477239,0.97009999999999996,0.15247784822061658
6,0.95149999996821089,0.18123621690273284,0.96919999999999995,0.15539331592265518
7,0.95016666669845584,0.18923997111717861,0.96950000000000003,0.15607446227669716
8,0.95163333336512246,0.18154147327343623,0.96879999999999999,0.17158971882611512
9,0.95088333330154418,0.18936677194833756,0.96989999999999998,0.15965341364247723
10,0.95183333333333331,0.18107051096757254,0.96989999999999998,0.1584555683515966
11,0.95101666669845586,0.18531496985356014,0.97040000000000004,0.16267855509617365
12,0.95180000003178911,0.18348200049400329,0.96999999999999997,0.14916592527478933
13,0.94984999999999997,0.18849566661914188,0.97130000000000005,0.1605121865555644
14,0.95301666669845586,0.17847543565432231,0.97119999999999995,0.15401873855963349
15,0.95250000003178914,0.18422872969706852,0.96789999999999998,0.16573800938734784
16,0.95265,0.18338512688875197,0.97030000000000005,0.15960953921191395
17,0.9530000000317892,0.18302733637094498,0.96960000000000002,0.17200320185394957
18,0.95288333336512243,0.17664634615381558,0.97040000000000004,0.16740104343704879
19,0.95308333336512252,0.18084560581843059,0.97130000000000005,0.16685236069597303
